variable,period,e_x,e_pi,e_i,initial,smoothed
i,49,0.002814194025,-0.0006097063729,-9.317446888e-06,-5.980459183e-16,0.002195170205
i,50,0.002808538674,-0.0009956073436,0.0003822388746,-3.764349943e-16,0.002195170205
i,51,0.00266447541,-0.0003991351807,-7.017002425e-05,-2.142383493e-16,0.002195170205
i,52,0.00226201333,4.763728991e-05,-0.0008636311667,-1.103717812e-16,0.001446019453
i,53,0.001630745533,0.0006220385917,-0.00165862531,-5.03069808e-17,0.0005941588154
i,54,0.001103114438,0.0004027488154,-0.001729520928,-1.843143693e-17,-0.0002236576747
i,55,0.0002211859071,0.0004759922311,-0.001822579053,-3.686287386e-18,-0.001125400915
i,56,-0.0004678930405,-0.0002862935958,-0.001787511144,2.168404345e-18,-0.00254169778
i,57,-0.0009368858775,-0.0003961137013,-0.001326992867,3.469446952e-18,-0.002659992446
i,58,-0.001099857565,-0.0003362520432,-0.001223882838,3.035766083e-18,-0.002659992446
i,59,-0.001491561707,2.636132983e-05,-0.001194792069,2.168404345e-18,-0.002659992446
i,60,-0.001442763484,-0.0007811822939,0.0001550104804,1.734723476e-18,-0.002068935298
i,61,-0.001147290129,-0.0005278117347,0.0002354836381,8.67361738e-19,-0.001439618226
i,62,-0.001156791706,-0.000539442633,0.0002566161131,8.67361738e-19,-0.001439618226
i,63,-0.001085404796,-0.0009668184921,0.0006126050619,2.168404345e-19,-0.001439618226
i,64,-0.001170272502,-0.001440829409,0.001171483685,-2.168404345e-19,-0.001439618226
i,65,-0.001768584169,-0.0007549531586,0.0004933538175,-4.33680869e-19,-0.00203018351
i,66,-0.002122672601,-0.001553417987,0.0001933475938,0,-0.003482742994
i,67,-0.001985793893,-0.002009733656,0.0001107096511,0,-0.003884817898
i,68,-0.001798469295,-0.001863420755,-0.0002229278485,8.67361738e-19,-0.003884817898
i,69,-0.001384708156,-0.001972003132,-0.0005281066104,0,-0.003884817898
i,70,-0.0008720493697,-0.002151587267,-0.0008611812618,-4.33680869e-19,-0.003884817898
i,71,-0.0007484896455,-0.002080835377,-0.001055492876,0,-0.003884817898
i,72,-0.0002759400758,-0.002601615406,-0.0005227244459,4.33680869e-19,-0.003400279928
i,73,-8.88776682e-05,-0.002563231928,-0.0002117102898,8.67361738e-19,-0.002863819886
i,74,0.0002742233728,-0.002298291309,-0.000931843627,0,-0.002955911564
i,75,0.0001239756853,-0.002660249125,-0.001670551779,0,-0.004206825219
i,76,-0.001726847048,-0.002146069602,-0.001691139662,0,-0.005564056312
i,77,-0.002648193972,-0.001633700717,-0.001766841732,1.734723476e-18,-0.006048736421
i,78,-0.008018451599,-0.001833814679,0.001022865117,1.734723476e-18,-0.008829401161
i,79,-0.01048952064,-0.001028728467,0.002688847948,3.469446952e-18,-0.008829401161
i,80,-0.01006853074,-0.0009002448198,0.002139374399,0,-0.008829401161
i,81,-0.008456022072,-0.0009747544061,0.0006013753172,1.734723476e-18,-0.008829401161
i,82,-0.007009432762,-0.001763422185,-5.654621437e-05,1.734723476e-18,-0.008829401161
i,83,-0.00482646902,-0.001125651582,-0.001740904518,1.734723476e-18,-0.00769302512
